Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
202,Will Meisel,Musik,2,26,4,0.384894,0.416219,198.71594,0.281254,23,,
203,Wilhelm Schmidt,Kamera,2,31,4,0.374622,0.407482,687.401107,0.325308,29,,
204,Walter Gross,Darsteller,2,11,4,0.355131,0.374664,243.558808,0.093071,11,,
205,Hans Sommer,Musik,2,28,4,0.379398,0.410282,457.048485,0.219831,25,,
206,Werner Schlichting,Bauten,2,27,5,0.353276,0.381832,323.327935,0.164675,22,,
207,Werner Eisbrenner,Musik,2,27,4,0.385492,0.417675,461.419508,0.339789,27,,
208,Weiß-Ferdl,Darsteller,2,26,5,0.336043,0.364225,139.014799,0.146666,21,,
209,Wastl Witt,Darsteller,2,21,4,0.382716,0.411738,304.842172,0.262804,21,,
210,Heinrich Richter,Bauten,2,29,4,0.375947,0.406586,840.629765,0.213763,27,,
211,Siegfried Schürenberg,Darsteller,2,29,4,0.387097,0.418683,568.908073,0.296469,27,,
213,Walter von Bonhorst,Schnitt,2,26,4,0.391785,0.423051,491.470289,0.316191,26,,
214,Heinz von Cleve,Darsteller,2,27,4,0.395534,0.425627,439.653383,0.313057,25,,
215,Inge List,Darsteller,2,23,4,0.384695,0.414539,671.49419,0.240283,22,,
217,Rudolf Carl,Darsteller,2,20,5,0.357864,0.385193,819.041713,0.125218,20,,
