Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
433,André-Paul Antoine,Regie,2,22,5,0.368031,0.394072,354.390994,0.151932,22
434,Carl Jöken,Darsteller/Drehbuch,2,28,5,0.346282,0.367386,0,0.076272,11
1128,Henny Porten,Darsteller/Produzent,4,58,5,0.377899,0.405577,83.790892,0.231065,24
436,Valerie Boothby,Darsteller,2,25,5,0.351534,0.371381,0,0.08829,11
437,Carl de Vogt,Darsteller,2,27,5,0.367124,0.393992,131.382587,0.164533,21
439,Trude Lieske,Darsteller,2,26,5,0.372234,0.399345,173.20643,0.208157,24
440,Ralph Benatzky,Musik,2,28,5,0.371571,0.398706,472.704421,0.17368,27
441,Rudolf Walther-Fein,Regie,2,19,5,0.370515,0.393832,76.917577,0.153669,18
442,Paul Westermeier,Darsteller,2,26,4,0.377079,0.403244,296.499136,0.2413,26
443,Philipp Lothar Othello Mayring,Drehbuch/Regie,2,26,5,0.336343,0.35652,0,0.056218,13
444,Paul Otto,Darsteller,2,24,5,0.39093,0.420757,526.121363,0.254458,24
445,Ferdinand von Alten,Darsteller,2,26,4,0.389179,0.413391,2063.065512,0.189073,23
446,Friedrich Fehér,Regie/Schnitt,2,28,5,0.285206,0.30195,0,0.019084,14
447,Frank Strip,Musik,2,35,4,0.399617,0.427533,526.883383,0.29446,31
449,Paul Falkenberg,Schnitt,2,28,4,0.3873,0.412911,583.771463,0.194849,27
450,Ferdy Kaufmann,Musik,2,27,5,0.357682,0.380729,206.843883,0.107109,24
451,Fritz Friedmann-Frederich,Drehbuch,2,26,5,0.37831,0.406935,266.920908,0.23296,24
452,Frida Richard,Darsteller,2,25,4,0.387157,0.411873,603.046929,0.176949,22
453,Franz Wachsmann,Musik,2,30,5,0.376534,0.405817,508.793659,0.215955,26
454,Francesca Bertini,Darsteller,2,14,6,0.308124,0.328108,739.475986,0.027057,14
455,Fritz Greiner,Darsteller,2,22,5,0.356825,0.37937,1675.094079,0.091557,20
456,Paul Frank,Drehbuch,2,26,5,0.363668,0.389198,26.73715,0.169733,18
457,Paul Graetz,Darsteller,2,28,4,0.401463,0.429211,440.895855,0.287718,27
458,Friedl Haerlin,Darsteller,2,28,5,0.378859,0.408373,920.529645,0.174426,27
459,François Viguier,Darsteller,2,29,5,0.377625,0.408693,882.886435,0.212885,28
1137,Luis Trenker,Darsteller/Regie,4,58,5,0.389324,0.418281,565.368271,0.202041,30
462,Pierre Juvenet,Darsteller,2,21,5,0.35344,0.380089,828.353452,0.114264,21
463,Fritz Falkenstein,Drehbuch,2,23,4,0.390344,0.416986,318.791152,0.235488,22
464,Fritz Hemman,Musik,2,27,5,0.357682,0.380729,206.843883,0.107109,24
465,Fritz Byjacco,Musik,2,25,5,0.351534,0.371381,0,0.08829,11
466,Pierre Schild,Bauten,2,24,5,0.370252,0.397028,1634.215462,0.143081,24
467,Fred Louis Lerch,Darsteller,2,19,4,0.378997,0.402844,474.544203,0.153299,19
468,Fritz Kortner,Darsteller,2,26,4,0.386869,0.412512,539.437485,0.1994,24
469,Lyne Clevers,Darsteller,1,11,6,0.348596,0.370805,0,0.086929,11
470,Valeska Stock,Darsteller,1,13,5,0.348946,0.370102,0,0.107763,12
471,Lydia Pollmann,Darsteller,1,15,5,0.339629,0.360195,0,0.090909,15
472,Willy Engel-Berger,Musik,1,15,5,0.350706,0.373698,0,0.089343,13
1138,Anny Ondra,Darsteller/Produzent,6,87,4,0.38831,0.418984,1000.708545,0.288253,38
474,Lydia Newerowskaja,Darsteller,1,14,4,0.343997,0.361857,0,0.064985,12
475,Lya Lys,Darsteller,1,9,5,0.344566,0.362192,0,0.063494,9
476,Luise Heilborn-Körbitz,Drehbuch,1,13,5,0.338307,0.3566,0,0.051929,11
477,Veit Harlan,Darsteller,1,12,5,0.346973,0.367146,0,0.074237,12
478,Otto Gülstorff,Bauten,1,12,5,0.329542,0.346692,0,0.042115,11
